MSD,,GE,,META,,DFS,
FLOPs,Acc,FLOPs,Acc,FLOPs,Acc,FLOPs,Acc
58.21,67.45,58.16,67.9,58.96,68.83,58.81,72.83
66.2,68.26,60.05,68.69,61.86,69.23,61.48,73.44
70.96,68.91,62.41,69.41,66.36,70.21,64.53,74.22
74.99,69.84,65.28,70.3,71.19,71.33,67.97,74.94
78.9,70.77,68.5,71.17,76.98,72.83,71.88,75.59
82.87,71.18,71.93,71.58,83.41,74,76.25,76.5
88.39,72.14,76.43,72.54,92.47,74.82,81.2,76.91
93.46,72.94,81.27,73.34,102.52,75.63,86.7,77.3
98.86,73.63,86.79,74.03,113.24,76.05,92.71,78.02
105.54,74.05,93,74.45,125.37,76.51,99.33,78.36
112.97,74.52,99.7,74.92,137.02,76.81,106.35,78.56
121.26,75.1,107.17,75.6,149.71,77.08,113.86,78.86
129.41,75.61,116.15,76.11,162.25,77.21,121.65,79.25
138.94,75.83,124.87,76.33,173.51,77.41,129.61,79.36
147.76,75.84,134.31,76.64,183.89,77.29,137.76,79.48
158.3,75.78,144.04,76.66,193.89,77.22,145.86,79.93
169.57,75.84,154.55,76.74,203.79,77.2,153.85,79.9
180.32,75.8,164.76,76.75,212.32,77.1,161.67,79.89
190.7,75.76,174.66,76.56,219.54,77.06,169.2,79.87
200.84,75.82,184.31,76.62,227.41,77.02,176.47,79.82
209.82,75.81,193.05,76.61,233.62,77,183.34,79.76
220.19,75.74,202.1,76.44,239.59,76.98,189.84,79.74
227.65,75.69,209.73,76.36,245.39,76.98,195.99,79.73
235.44,75.59,217.31,76.34,251.25,76.99,201.7,79.72
241.4,75.58,224.88,76.23,256.03,76.98,207.09,79.71
248.69,75.53,231.01,76.17,260.32,76.99,212.09,79.71
254.64,75.53,237.37,76.15,264.13,76.99,216.71,79.69
260.52,75.52,242.37,76.16,268.56,76.98,221.04,79.69
265.81,75.51,247.7,76.13,272.53,76.98,225.04,79.68
269.85,75.51,251.91,76.13,276.35,76.98,228.73,79.87
274.17,75.5,256.77,76.12,279.28,76.98,232.18,79.82
277.76,75.51,261.11,76.13,282.39,76.98,235.36,79.76
281.03,75.51,264.8,76.13,285.03,76.97,238.33,79.74
283.97,75.51,268.24,76.14,287.35,76.97,241.05,79.73
287.23,75.51,270.76,76.13,289.49,76.97,243.61,79.71
289.72,75.51,274.78,76.13,291.75,76.97,245.93,79.85
292.17,75.51,275.66,76.13,293.94,76.97,248.16,79.69
294.84,75.51,277.7,76.13,295.78,76.97,250.2,79.68
296.5,75.51,278.75,76.13,297.37,76.97,252.12,79.68
299.73,75.51,282.28,76.13,299.17,76.97,253.92,79.68